Family & Model,Logical Width,Logical Height,Physical Width,Physical Height,PPI,Retina Factor,Release
iPhone 12,390,844,1170,2532,460,3,10/13/2020
iPhone 12 mini,360,780,1080,2340,476,3,10/13/2020
iPhone 12 Pro Max,428,926,1284,2778,458,3,10/13/2020
iPhone 12 Pro,390,844,1170,2532,460,3,10/13/2020
iPhone SE 2nd gen,375,667,750,1334,326,2,4/24/2020
iPhone 11 Pro Max,414,896,1242,2688,458,3,9/20/2019
iPhone 11 Pro,375,812,1125,2436,458,3,9/20/2019
iPhone 11,414,896,828,1792,326,2,9/20/2019
iPhone XR,414,896,828,1792,326,2,10/26/2018
iPhone XS Max,414,896,1242,2688,458,3,9/21/2018
iPhone XS,375,812,1125,2436,458,3,9/21/2018
iPhone X,375,812,1125,2436,458,3,11/3/2017
iPhone 8 Plus,414,736,1242,2208,401,3,9/22/2017
iPhone 8,375,667,750,1334,326,2,9/22/2017
iPhone 7 Plus,414,736,1242,2208,401,3,9/16/2016
iPhone 7,375,667,750,1334,326,2,9/16/2016
iPhone SE 1st gen,320,568,640,1136,326,2,3/31/2016
iPhone 6s Plus,414,736,1242,2208,401,3,9/25/2015
iPhone 6s,375,667,750,1334,326,2,9/25/2015
iPhone 6 Plus,414,736,1242,2208,401,3,9/19/2014
iPhone 6,375,667,750,1334,326,2,9/19/2014
iPhone 5c,320,568,640,1136,326,2,9/20/2013
iPhone 5s,320,568,640,1136,326,2,9/20/2013
iPhone 5,320,568,640,1136,326,2,9/21/2012
iPhone 4S,320,480,640,960,326,2,10/14/2011
iPhone 4,320,480,640,960,326,2,6/21/2010
iPhone 3GS,320,480,320,480,163,1,6/19/2009
iPhone 3G,320,480,320,480,163,1,7/11/2008
iPhone 1st gen,320,480,320,480,163,1,6/29/2007
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
